DISTRITO	ESTADO	LONGITUDE	LATITUDE
AGROVILA DO PA HUMAITA VILA PIA	ACRE	-67.4426600429939	-9.88797219154376
ALVARÃES	AMAZONAS	-64.8135346775686	-3.21658376906639
NOGUEIRA	AMAZONAS	-64.7786954791808	-3.30017971425859
MARAJÁ	AMAZONAS	-64.8282784717324	-3.17841123488637
ALDEIA INDÍGENA IGARAPÉ GRANDE	AMAZONAS	-64.8680651102341	-3.20583967378665
ALDEIA INDÍGENA MÉRIA	AMAZONAS	-64.8561728955643	-3.20224252079928
ALDEIA INDÍGENA MÉRIA II	AMAZONAS	-64.8509787054666	-3.20397965161677
AMATURÁ	AMAZONAS	-68.2096146409404	-3.36680518750561
NOVA ITÁLIA	AMAZONAS	-68.2253692002154	-3.40912610638573
ALDEIA INDÍGENA CANIMARÚ	AMAZONAS	-68.2302377260909	-3.4017496183489
ALDEIA INDÍGENA BOM PASTOR	AMAZONAS	-68.2288849212397	-3.40609158885555
ALDEIA INDÍGENA NOVA GALILÉIA	AMAZONAS	-68.2386840561796	-3.39333384070077
ALDEIA INDÍGENA SANTO INÁCIO	AMAZONAS	-68.2122500335102	-3.44504021158325
ALDEIA INDÍGENA VILA TAMBAQUI	AMAZONAS	-68.2171622246706	-3.46811898217561
ALDEIA INDÍGENA NOVA ALEGRIA	AMAZONAS	-68.2354753775423	-3.39917446371974
ALDEIA INDÍGENA UMARIRANA	AMAZONAS	-68.5752481015451	-3.40681828402466
ALDEIA INDÍGENA NOVA ESPERANÇA	AMAZONAS	-68.4534156689937	-3.3978695055345
ALDEIA INDÍGENA SÃO FRANCISCO DO CANIMARI	AMAZONAS	-68.3534441926198	-3.38734983176463
ALDEIA INDÍGENA MARAITÁ	AMAZONAS	-68.3587547285675	-3.30675515354482
ALDEIA INDÍGENA PALMEIRA DO NORTE	AMAZONAS	-68.3319611158924	-3.26159172846233
ANAMÃ	AMAZONAS	-61.4059034797501	-3.57637042689027
VILA ARIXI	AMAZONAS	-61.5097402729947	-3.47606288314137
VILA DO CUIA	AMAZONAS	-61.320894570163	-3.58693015082782
ALDEIA INDÍGENA SÃO JOSÉ	AMAZONAS	-61.5048688843994	-3.67666966746183
ALDEIA INDÍGENA EWARE	AMAZONAS	-61.5017985053345	-3.67481240597908
ALDEIA INDÍGENA SANTA LUZIA	AMAZONAS	-61.4831649544296	-3.66697708409872
ANORI	AMAZONAS	-61.6589553828779	-3.74538558611889
APUÍ	AMAZONAS	-59.8856661047188	-7.1978701516076
SUCUNDURI	AMAZONAS	-59.0477236314605	-6.79971746313717
ATALAIA DO NORTE	AMAZONAS	-70.1879892845226	-4.36615748971603
ALDEIA INDÍGENA CURUBUS	AMAZONAS	-70.8919436661041	-4.85343955710594
ALDEIA INDÍGENA MAIURUNAS I	AMAZONAS	-73.3057904289413	-6.69660510960106
ALDEIA INDÍGENA MAIURUNAS II	AMAZONAS	-73.1339541475921	-6.56292797868979
ESTIRÃO DO EQUADOR	AMAZONAS	-71.6153836024736	-4.53070431768988
PALMEIRAS DO JAVARI	AMAZONAS	-72.8129497550415	-5.13668191098913
ALDEIA INDÍGENA IRARI	AMAZONAS	-70.961389933703	-4.38170464718572
ALDEIA INDÍGENA SÃO LUÍS	AMAZONAS	-71.3038271716914	-4.45458955208539
ALDEIA INDÍGENA FLORES VELHA	AMAZONAS	-71.3878895415484	-4.54092914640516
ALDEIA INDÍGENA MAIA	AMAZONAS	-71.4723547472077	-4.69273410616409
ALDEIA INDÍGENA FLORES	AMAZONAS	-71.5616864513219	-4.86033884218456
ALDEIA INDÍGENA PEDRO LOPES	AMAZONAS	-71.7454739716333	-5.00228556923399
ALDEIA INDÍGENA FRUTA PÃO	AMAZONAS	-71.9445673890329	-5.191971564127
ALDEIA INDÍGENA TERRINHA	AMAZONAS	-72.1686879832848	-5.42079489067628
ALDEIA INDÍGENA SOLES	AMAZONAS	-72.8596720962596	-5.26944810964899
ALDEIA INDÍGENA JAQUIRANA	AMAZONAS	-72.9615717748577	-5.66008242825753
ALDEIA INDÍGENA PIN LOBO	AMAZONAS	-72.9741820839162	-5.73448474228991
ALDEIA INDÍGENA VOLTA GRANDE	AMAZONAS	-72.0574056677478	-5.69534741063363
ALDEIA INDÍGENA MALOCA DO PAULINHO	AMAZONAS	-72.0974086443323	-5.7900278285302
ALDEIA INDÍGENA SÃO SEBASTIÃO	AMAZONAS	-72.1010877584717	-5.79868888455383
ALDEIA INDÍGENA MORADA NOVA	AMAZONAS	-72.6682872282104	-6.49145512677176
ALDEIA INDÍGENA PIN MARONAL	AMAZONAS	-72.7178722501887	-6.62086844851737
ALDEIA INDÍGENA ALEGRIA	AMAZONAS	-72.126747753344	-6.80613043366563
ALDEIA INDÍGENA PRAIA	AMAZONAS	-72.1549955583749	-6.81190656704973
ALDEIA INDÍGENA VIDA NOVA	AMAZONAS	-72.1703767458049	-6.81075407121622
ALDEIA INDÍGENA CARNEIRO	AMAZONAS	-72.1814724371559	-6.81835781591659
ALDEIA INDÍGENA LIBERDADE	AMAZONAS	-72.2050937012877	-6.83285266736109
ALDEIA INDÍGENA MARCIO LIMA	AMAZONAS	-72.2211227199729	-6.85756313276177
ALDEIA INDÍGENA PAULINHO	AMAZONAS	-72.2243855850508	-6.8740714373709
ALDEIA INDÍGENA PARANÁ	AMAZONAS	-72.2371440492345	-6.8875385891507
ALDEIA INDÍGENA AGUA BRANCA	AMAZONAS	-72.2501890117433	-6.90914755056421
ALDEIA INDÍGENA PENTIAQUINO	AMAZONAS	-71.8750678845349	-6.62192547132326
ALDEIA INDÍGENA RIO NOVO	AMAZONAS	-71.7158044459106	-6.38089699357476
ALDEIA INDÍGENA AURÉLIO	AMAZONAS	-71.4368729209752	-5.80301561549106
ALDEIA INDÍGENA BEIJA	AMAZONAS	-71.1921031720734	-5.47661158996527
ALDEIA INDÍGENA LAMEIRÃO	AMAZONAS	-70.6176895324494	-4.19632355225802
ALDEIA INDÍGENA SÃO RAIMUNDO	AMAZONAS	-70.5711285390355	-4.21287487527941
ALDEIA INDÍGENA SANTA TEREZA	AMAZONAS	-70.5455961210623	-4.13985433253803
ALDEIA INDÍGENA JABURU	AMAZONAS	-70.4388288734918	-4.16259092506221
ALDEIA INDÍGENA PIRAPITINGA	AMAZONAS	-70.3930126281327	-4.14198456525125
ALDEIA INDÍGENA PALMARI	AMAZONAS	-70.2961070764626	-4.29620194127382
ALDEIA INDÍGENA FRENTE DE PROTEÇÃO ETNOA	AMAZONAS	-70.2599318549075	-4.65421713805327
ALDEIA INDÍGENA VALENCIA	AMAZONAS	-70.1967108843066	-4.7670464335608
ALDEIA INDÍGENA REMANCINHO	AMAZONAS	-70.6138340070582	-5.96336963903696
ALDEIA INDÍGENA ESTREITO	AMAZONAS	-70.622976723706	-5.97915064431793
ALDEIA INDÍGENA PANEMA	AMAZONAS	-70.6138324373412	-6.06989128045197
ALDEIA INDÍGENA ARARA	AMAZONAS	-70.5960505159706	-6.11815277351654
ALDEIA INDÍGENA BEIJA FLOR	AMAZONAS	-70.5938486085362	-6.17480928334121
ALDEIA INDÍGENA MASSAPÊ	AMAZONAS	-70.605528331626	-6.23770293589963
ALDEIA INDÍGENA ARROMBADO	AMAZONAS	-70.6365878740488	-6.2691251289137
ALDEIA INDÍGENA KUMARU	AMAZONAS	-70.7869274509382	-6.4020265210033
AUTAZES	AMAZONAS	-59.1335670918168	-3.57866364177127
URUCURITUBA	AMAZONAS	-58.9331286162054	-3.54690723501944
SAMPAIO	AMAZONAS	-59.1777396181297	-3.82381738247905
ALDEIA INDÍGENA PARACUUBA	AMAZONAS	-59.0756031365965	-3.54346684441035
ALDEIA INDÍGENA PADRE	AMAZONAS	-59.1904172640773	-3.74850161447038
ALDEIA INDÍGENA SÃO PEDRO	AMAZONAS	-59.2498294436087	-3.73385813529423
ALDEIA INDÍGENA TRINCHEIRA	AMAZONAS	-59.2551397663311	-3.71725444275272
ALDEIA INDÍGENA NATAL	AMAZONAS	-59.2219996137303	-3.5617734453347
ALDEIA INDÍGENA CUIA	AMAZONAS	-59.2045309247329	-3.52502110304942
ALDEIA INDÍGENA TI GUAPENU	AMAZONAS	-59.1800829368756	-3.51322316686385
ALDEIA INDÍGENA SÃO FELIX	AMAZONAS	-59.1956790886855	-3.54619112589913
ALDEIA INDÍGENA LIMÃO	AMAZONAS	-59.9578016043408	-4.2396489617848
ALDEIA INDÍGENA JOSEFA	AMAZONAS	-59.1580235816586	-3.82102332407192
ALDEIA INDÍGENA TI MURATUBA	AMAZONAS	-59.6123605625171	-3.86136372854645
ALDEIA INDÍGENA TI CAPIVARA	AMAZONAS	-59.40873972682	-3.62261729874301
ALDEIA INDÍGENA PANTALEÃO	AMAZONAS	-59.1437441437311	-3.58890571902954
NOVO CÉU	AMAZONAS	-59.2718528785967	-3.39061710640899
MURUTINGA	AMAZONAS	-59.2534029106323	-3.37826538968937
MONTE SINAI	AMAZONAS	-59.5184883817522	-3.60023018792357
ALDEIA INDÍGENA TI PONCIANO	AMAZONAS	-59.4626363027696	-3.53361291743785
ALDEIA INDÍGENA PATAUÁ	AMAZONAS	-59.3150462104198	-3.43229556735737
ALDEIA INDÍGENA TI MURITINGA	AMAZONAS	-59.2493159675594	-3.39872347780412
ALDEIA INDÍGENA TI JAUARY	AMAZONAS	-59.0573641392889	-3.39700216366557
BARCELOS	AMAZONAS	-62.9256696581026	-0.972801052532191
VILA DE MOURA	AMAZONAS	-61.6355778788282	-1.4575911687948
ALDEIA INDÍGENA COMIXIPIWEI	AMAZONAS	-63.519311996997	1.31714354679774
ALDEIA INDÍGENA ETEWEXIBIWEI	AMAZONAS	-63.8182037521115	1.62003521565524
ALDEIA INDÍGENA DEMINI	AMAZONAS	-63.6544761897904	1.6245514143471
ALDEIA INDÍGENA RAXASI	AMAZONAS	-63.5950933836304	1.72459844629179
ALDEIA INDÍGENA WANABIU	AMAZONAS	-63.7812359011755	1.80200657031438
ALDEIA INDÍGENA LAHARABI	AMAZONAS	-63.9202296635317	1.75027449876511
ALDEIA INDÍGENA COHEREBI	AMAZONAS	-63.9234779533646	1.76152818911249
ALDEIA INDÍGENA MARAXIBORA	AMAZONAS	-63.5346898456867	1.66176957218998
ALDEIA INDÍGENA CAXITAL	AMAZONAS	-63.5990446932186	1.75008299034171
ALDEIA INDÍGENA ABIAHIK	AMAZONAS	-63.612813121396	1.81726061205545
ALDEIA INDÍGENA KOIOBI	AMAZONAS	-63.6334319130838	1.80307025499824
BARREIRINHA	AMAZONAS	-57.0677504898938	-2.7981498369298
ARIAÚ	AMAZONAS	-57.2393111549266	-3.16930259131053
VILA MOLONGOTUBA	AMAZONAS	-56.9678740778229	-3.3746880785668
VILA PONTA ALEGRE	AMAZONAS	-57.0716331829843	-3.28506794804743
ALDEIA INDÍGENA GUARANATUBA	AMAZONAS	-57.1060604558348	-3.25727115409637
ALDEIA INDÍGENA ARATICUM	AMAZONAS	-57.047759637237	-3.3094889879428
ALDEIA INDÍGENA BOA VISTA	AMAZONAS	-57.0254734801472	-3.33528794321258
ALDEIA INDÍGENA SÃO JOSÉ	AMAZONAS	-56.9275237861078	-3.45171848392903
ALDEIA INDÍGENA MIRITUBA	AMAZONAS	-56.9156137713725	-3.47135726438951
ALDEIA INDÍGENA TABATINGA	AMAZONAS	-56.88658981141	-3.49305796439008
ALDEIA INDÍGENA LIMOAL	AMAZONAS	-56.9097732756582	-3.47010671679024
ALDEIA INDÍGENA PONTA ALTA	AMAZONAS	-56.9095296889626	-3.46578971677283
ALDEIA INDÍGENA SIMÃO	AMAZONAS	-56.930004399943	-3.40976224552043
ALDEIA INDÍGENA BEM-TE-VI	AMAZONAS	-56.9562528137151	-3.38794417330859
ALDEIA INDÍGENA SÃO GABRIEL	AMAZONAS	-57.0068677366721	-3.36037112554988
ALDEIA INDÍGENA FÉ EM DEUS	AMAZONAS	-56.9283497253363	-3.35220993438691
ALDEIA INDÍGENA NOVO RETIRO	AMAZONAS	-56.8784085263622	-3.35766565286862
ALDEIA INDÍGENA NOVA SATERÉ	AMAZONAS	-56.9536726240388	-3.34118181495686
ALDEIA INDÍGENA NOVA UNIÃO	AMAZONAS	-57.0059063059187	-3.3343086865047
ALDEIA INDÍGENA CASTANHAL	AMAZONAS	-57.0173289307648	-3.30700714176299
ALDEIA INDÍGENA SANTA FÉ	AMAZONAS	-57.0247965527756	-3.28588658644327
ALDEIA INDÍGENA SÃO JOÃO	AMAZONAS	-56.9640591539493	-3.37900987898662
CAMETÁ	AMAZONAS	-57.4151785293751	-2.84019847740251
VILA CÂNDIDA	AMAZONAS	-57.4303945809332	-2.84700109895238
FREGUESIA DO ANDIRÁ	AMAZONAS	-57.0002045668418	-2.86051392767704
BARREIRA DO ANDIRA	AMAZONAS	-56.8194586074472	-2.76760533317689
VILA PIRAI	AMAZONAS	-57.1657339673608	-3.07354390510686
PEDRAS	AMAZONAS	-57.2785306388157	-2.79473325252206
VILA TERRA PRETA DO LIMÃO	AMAZONAS	-57.1644320221848	-2.79770299573293
BENJAMIN CONSTANT	AMAZONAS	-70.0273484332765	-4.37498901860391
PROSPERIDADE	AMAZONAS	-69.5608200053352	-4.31416462556003
ALDEIA INDÍGENA FEIJOAL	AMAZONAS	-69.5367410213396	-4.29645573106832
ALDEIA INDÍGENA LAURO SODRÉ	AMAZONAS	-69.9342393588527	-4.40147208162984
